LocationDesc,twoeleven,twotwelve,twothirteen,twofourteen,twofifteen
Alabama,32.05,32.95,32.45,33.5,35.65
Alaska,27.35,25.65,28.35,29.75,29.9
Arizona,25.1,26,26.8,28.95,28.35
Arkansas,30.95,34.55,34.65,35.9,34.5
California,23.8,25,24.1,24.7,24.15
Colorado,20.7,20.45,21.3,21.3,20.2
Connecticut,24.5,25.6,24.95,26.25,25.25
Delaware,28.8,26.9,31.05,30.65,29.65
District of Columbia,23.5,21.7,22.75,21.6,22
Florida,26.65,25.2,26.4,26.2,26.8
Georgia,28,29.1,30.35,30.5,30.7
Hawaii,21.8,23.55,21.7,22.05,22.6
Idaho,27.05,26.75,29.55,28.95,28.55
Illinois,27.1,28.15,29.4,29.3,30.8
Indiana,30.85,31.35,31.85,32.75,31.3
Iowa,28.9,30.4,31.25,30.9,32.05
Kansas,29.55,29.8,29.95,31.3,34.2
Kentucky,30.35,31.25,33.2,31.6,34.55
Louisiana,33.4,34.7,33.05,34.85,36.2
Maine,27.85,28.35,28.9,28.2,30
Maryland,28.3,27.6,28.3,29.55,28.9
Massachusetts,22.75,22.9,23.65,23.3,24.25
Michigan,31.3,31.05,31.5,30.75,31.15
Minnesota,25.65,25.7,25.4,27.55,26.05
Mississippi,34.85,34.55,35.1,35.4,35.55
Missouri,30.25,29.6,30.45,30.2,32.35
Montana,24.55,24.3,24.6,26.3,23.55
National,27.45,27.7,28.3,28.9,28.85
Nebraska,28.4,28.65,29.6,30.2,31.35
Nevada,24.45,26.15,26.25,27.65,26.65
New Hampshire,26.2,27.25,26.75,27.4,26.3
New Jersey,23.7,24.6,26.35,26.9,25.55
New Mexico,26.3,27.1,26.35,28.45,28.85
New York,24.5,23.6,25.4,27,25.05
North Carolina,29.15,29.55,29.4,29.7,30.1
North Dakota,27.7,29.5,30.85,32.1,30.8
Ohio,29.6,30.1,30.4,32.65,29.75
Oklahoma,31.05,32.25,32.55,33,33.85
Oregon,26.75,27.35,26.5,27.9,30
Pennsylvania,28.55,29.05,30,30.15,30
Rhode Island,25.45,25.8,27.3,27,26
South Carolina,30.8,31.55,31.75,32.05,31.7
South Dakota,28.1,28.1,29.8,29.8,30.35
Tennessee,29.2,31.1,33.7,31.25,33.8
Texas,30.4,29.25,30.9,31.95,32.4
Utah,24.35,24.3,24.15,25.75,24.45
Vermont,25.45,23.7,24.75,24.75,25.15
Virginia,29.15,27.4,27.2,28.5,29.25
Washington,26.4,26.8,27.15,27.25,26.4
West Virginia,32.45,33.8,35.15,35.65,35.6
Wisconsin,27.7,29.7,29.7,31.15,30.65
Wyoming,24.95,24.7,27.8,29.45,28.95
